
Subclases;17230;Fabricació de teixits de llana pentinada i les seves mescles;
Clases;1724;Fabricació de teixits de seda;
Subclases;17240;Fabricació de teixits de seda;
Clases;1725;Fabricació d'altres teixits tèxtils;
Subclases;17250;Fabricació d'altres teixits tèxtils;
Grupos;173;Acabament de tèxtils;
Clases;1730;Acabament de tèxtils;
Subclases;17301;Tenyiment de tèxtils;
Subclases;17302;Estampació de tèxtils;
Subclases;17303;Altres acabaments de tèxtils;
Grupos;174;Fabricació d'altres articles confeccionats amb tèxtils, excepte la roba de vestir;
Clases;1740;Fabricació d'altres articles confeccionats amb tèxtils, excepte la roba de vestir;
Subclases;17400;Fabricació d'altres articles confeccionats amb tèxtils, excepte la roba de vestir;
Grupos;175;Altres indústries tèxtils;
Clases;1751;Fabricació de catifes i moquetes;
Subclases;17510;Fabricació de catifes i moquetes;
Clases;1752;Fabricació de cordes, cordills, caramells i xarxes;
Subclases;17520;Fabricació de cordes, cordills, caramells i xarxes;
Clases;1753;Fabricació de teles no teixides i articles confeccionats amb aquestes teles, excepte la roba de vestir;
Subclases;17530;Fabricació de teles no teixides i articles confeccionats amb aquestes teles, excepte la roba de vestir;
Clases;1754;Fabricació d'altres articles tèxtils;
Subclases;17541;Fabricació de teixits estrets;
Subclases;17542;Fabricació de teixits impregnats, endurits o recoberts amb matèries plàstiques;
Subclases;17543;Fabricació d'altres articles tèxtils;
Grupos;176;Fabricació de teixits de punt;
Clases;1760;Fabricació de teixits de punt;
Subclases;17600;Fabricació de teixits de punt;
Grupos;177;Fabricació d'articles amb teixits de punt;
Clases;1771;Fabricació de calceteria;
Subclases;17710;Fabricació de calceteria;
Clases;1772;Fabricació d'altres articles amb teixits de punt;
Subclases;17720;Fabricació d'altres articles amb teixits de punt;
Divisiones;18;Indústries de la confecció i de la pelleteria;
Grupos;181;Confecció de peces de vestir de cuir;
Clases;1810;Confecció de peces de vestir de cuir;
Subclases;18100;Confecció de peces de vestir de cuir;
Grupos;182;Confecció de peces de vestir amb tèxtils i accessoris;
Clases;1821;Confecció de roba de treball;
Subclases;18210;Confecció de roba de treball;
Clases;1822;Confecció d'altres peces de vestir exteriors;
Subclases;18221;Confecció industrial;
Subclases;18222;Confecció a mida;
Clases;1823;Confecció de roba interior;
Subclases;18231;Confecció de roba interior masculina;
Subclases;18232;Confecció de llenceria femenina;
Clases;1824;Confecció d'altres tipus de peces de vestir i accessoris;
Subclases;18241;Confecció de roba per a bebè i primera infància;
Subclases;18242;Confecció de roba d'esport;
Subclases;18243;Confecció d'altres tipus de peces de vestir i accessoris;
Grupos;183;"Preparació i tenyiment de pells de pelleteria; fabricació d'articles de pelleteria";
Clases;1830;"Preparació i tenyiment de pells de pelleteria; fabricació d'articles de pelleteria";
Subclases;18301;Preparació, adob i tenyiment de pells de pelleteria;
Subclases;18302;Fabricació d'articles de pelleteria;
Subsecciones;DC;INDÚSTRIES DEL CUIR I DEL CALÇAT;
Divisiones;19;"Preparació, adob i acabament del cuir; fabricació d'articles de marroquineria i viatge; articles de guarnicioneria, talabarderia i sabateria";
Grupos;191;Preparació, adob i acabament del cuir;
Clases;1910;Preparació, adob i acabament del cuir;
Subclases;19100;Preparació, adob i acabament del cuir;
Grupos;192;"Fabricació d'articles de marroquineria i viatge; articles de guarnicioneria i talabarderia";
Clases;1920;"Fabricació d'articles de marroquineria i viatge; articles de guarnicioneria i talabarderia";
Subclases;19201;Fabricació d'articles de marroquineria i viatge;
Subclases;19202;Fabricació d'altres articles de pell;
Grupos;193;Fabricació de calçat;
Clases;1930;Fabricació de calçat;
Subclases;19300;Fabricació de calçat;
Subsecciones;DD;INDÚSTRIES DE LA FUSTA I DEL SURO;
Divisiones;20;"Indústries de la fusta i del suro, excepte mobles; cistelleria i esparteria";
Grupos;201;"Serrada i planejament de la fusta; preparació industrial de la fusta";
Clases;2010;"Serrada i planejament de la fusta; preparació industrial de la fusta";
Subclases;20101;Serrada i planejament de la fusta;
Subclases;20102;Preparació industrial de la fusta;
